symbol,hull,kj,snkb,sl,tp,n,wr,pf,ret,dd,final
MUBARAK,10,24,52,5.0,12.0,129,39.5,1.16,174.1,-52.5,274.09999999999997
PLUME,16,60,52,6.0,20.0,64,46.9,1.77,172.0,-26.2,272.0
YGG,16,48,52,10.0,12.0,183,38.3,1.35,170.1,-26.0,270.09999999999997
ATOM,12,60,26,8.0,12.0,291,41.6,1.42,169.3,-15.3,269.3
DYDX,10,48,40,6.0,15.0,288,41.7,1.27,169.0,-54.0,269.0
DYDX,8,60,52,6.0,,265,38.9,1.3,169.0,-52.6,269.0
MUBARAK,10,24,26,8.0,20.0,146,39.0,1.28,167.9,-38.2,267.90000000000003
PEAQ,16,48,52,5.0,10.0,73,43.8,1.7,167.2,-33.0,267.2
YGG,16,48,52,10.0,15.0,181,37.6,1.35,167.1,-26.0,267.1
BROCCOLI,16,48,40,8.0,,80,41.2,1.75,165.4,-31.8,265.4
BROCCOLI,16,48,26,8.0,,82,41.5,1.7,165.3,-30.7,265.3
XRP,8,24,52,10.0,,487,34.5,1.32,165.0,-29.8,265.0
XRP,8,24,40,10.0,20.0,511,35.0,1.33,159.8,-24.5,259.8
POPCAT,16,60,52,5.0,15.0,95,40.0,1.24,159.3,-44.7,259.3
STG,10,60,40,10.0,20.0,275,42.9,1.43,157.5,-24.1,257.5
DYDX,10,48,40,8.0,20.0,287,41.8,1.31,155.0,-44.8,254.99999999999997
ATOM,12,60,26,10.0,20.0,290,41.4,1.48,148.9,-14.4,248.89999999999998
DYDX,8,60,52,5.0,8.0,268,38.4,1.23,145.6,-53.2,245.6
PLUME,16,60,52,6.0,15.0,64,46.9,1.64,145.6,-26.2,245.6
STG,10,60,52,10.0,20.0,259,41.7,1.42,143.4,-32.2,243.4
ATOM,12,60,26,10.0,,290,41.4,1.47,142.9,-14.4,242.90000000000003
AKT,8,60,52,10.0,8.0,179,41.9,1.66,142.5,-13.1,242.49999999999997
POPCAT,16,60,52,8.0,20.0,94,42.6,1.36,142.4,-28.2,242.40000000000003
DYDX,8,60,52,6.0,15.0,265,38.9,1.27,142.1,-51.3,242.10000000000002
MUBARAK,10,24,26,8.0,12.0,147,40.1,1.26,140.2,-38.2,240.20000000000002
ATOM,12,60,26,10.0,10.0,292,41.4,1.43,140.0,-13.6,240.0
DYDX,10,48,40,8.0,,287,41.8,1.31,138.7,-47.8,238.69999999999996
AKT,8,60,52,10.0,15.0,175,40.6,1.67,137.5,-23.3,237.5
PEAQ,16,48,52,6.0,10.0,72,44.4,1.7,136.3,-24.2,236.30000000000004
DYDX,10,48,52,8.0,20.0,270,40.4,1.31,135.3,-49.0,235.3
PEAQ,16,48,52,8.0,12.0,71,43.7,1.92,133.4,-18.0,233.4
AKT,8,60,52,10.0,10.0,176,40.9,1.66,132.7,-18.7,232.7
DYDX,8,60,52,8.0,20.0,265,38.9,1.32,130.7,-35.3,230.7
ATOM,12,60,26,10.0,12.0,291,41.6,1.41,122.2,-13.7,222.2
AKT,8,60,52,10.0,12.0,175,40.6,1.62,121.5,-19.8,221.5
LRC,16,60,40,8.0,20.0,239,36.8,1.18,121.4,-48.4,221.4
